codigoOC;FechaEnvioOC;NombreOC;DescripcionOC;EstadoOC;ProcedenciaOC;MonedaOC;MontoNetoOC;DescuentosOC;CargosOC;ImpuestosOC;MontoTotalOC;ImpuestosOC_CLP;MontoNetoOC_CLP;MetodoPago;TipoDespacho;Financiamiento;UnidadCompra;UnidadCompraRUT;RegionUnidadCompra;entCode;Institucion;Sector;Proveedor;ProveedorRUT;ActividadProveedor;TamanoProveedor;RegionProveedor;RubroN1;RubroN2;RubroN3;CodigoProductoONU;ONUProducto;NombreItem;DescripcionItem;CantidadItem;UnidadMedida;MonedaItem;MontoNetoItem;DescuentoItem;CargosItem;ImpuestoEspecificoItem;MontoTotalItem;MontoNetoItemCLP
1209004-3-SE24;06-02-2024 0:00:00;P02: CONTRATACIÓN SERVICIO DE SALA CUNA;P02: CONTRATACIÓN SERVICIO DE SALA CUNA, MENOR C.I.F.M AÑO 2024 FUNCIONARIA PAMELA MOYA  Para facturar deben estar recepcionados los productos y aceptada la orden de compra. Se solicita facturar en formato XML a la casilla: dipresrecepcion@custodium.com e indicar el número de orden de compra en el campo de referencia 801 y señalar en factura datos para la transferencia bancaria. Recordar que hay un plazo máximo de 24 hrs para aceptar la orden de compra en el portal www.mercadopublico.cl  DATOS DE FACTURACION: SERVICIO MEJOR NIÑEZ, RUT 62.000.890-7 Dirección: 1 NORTE 541, Edificio Los Leones, Talca. Copia factura: cmoyano@mejorninez.cl;Recepcion Conforme;Trato Directo;CLP;570000;0;0;0;570000;0;570000;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;ADMINISTRACIÓN DIRECTA REGIÓN DEL MAULE;62.000.890-7;Region del Maule;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;SOCIEDAD EDUCACIONAL LOS CASTORCITOS Y CIA LTDA.;76.181.237-8;Educacion;Pequeña;Región del Maule ;Servicios de cuidado personal y domésticos;Servicio doméstico y de cuidados;Cuidado de niños, personas enfermas y ancianos;91111901;Jardines infantiles o salas cunas;Jardines infantiles o salas cunas;SERVICIO DE SALA CUNA POR MENOR C.I.F.M. DESDE EL 01 DE ENERO DE 2024 AL 29 DE ENERO DE 2024. VALOR MENSUAL $ 450.000.- MATRICULA $150.000.-;1;Global;CLP;570000;0;0;0;570000;570000
1208983-2-SE24;12-02-2024 0:00:00;Servicio Sala Cuna Hijo Funcionaria Carol Miranda (Complementaria);Servicio Sala Cuna Hijo Funcionaria Carol Miranda. Inicio 01 de septiembre de 2023. Complementaria por reajuste IPC;Recepcion Conforme;Trato Directo;CLP;61106;0;0;0;61106;0;61106;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;104;ADMINISTRACIÓN DIRECTA REGIÓN DE VALPARAÍSO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;Cecilia Gonzalez Acuna SPA.;76.247.570-7;ESTABLECIMIENTOS DE ENSENANZA PREESCOLAR| ESTABLECIMIENTOS DE ENSENANZA PRIMARIA;Mediana;Región de Valparaíso ;Servicios de cuidado personal y domésticos;Servicio doméstico y de cuidados;Cuidado de niños, personas enfermas y ancianos;91111901;Jardines infantiles o salas cunas;Jardines infantiles o salas cunas;Servicio Sala Cuna Hijo Funcionaria Carol Miranda. ;1;Unidad no definida;CLP;61106;0;0;0;61106;61106
1210674-9-SE24;26-01-2024 0:00:00;PRORROGA DE CONTRATO DE MANTENCIÓN Y REPARACIÓN DE INMUEBLES PARA RF BILBAO, PADRE MARIANO, BROWN SUR, CARLOS ANTUNEZ Y CAMPO DE DEPORTES POR 03 MESES (EAA);;Recepcion Conforme;Trato Directo;CLP;52100840;0;0;9899159,6;61999999,6;9899159,6;52100840;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho;35;ADMINISTRACIÓN DIRECTA REGIÓN METROPOLITANA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;Terranovac Limitada;77.165.921-7;;Pequeña;Región Metropolitana de Santiago;Servicios de construcción y mantenimiento;Servicios de atención, mantenimiento y reparaciones de edificios;Revestimientos de techos, paredes o metalistería;72101607;Instalación o reparación de paredes;Instalación o reparación de paredes;;1;Unidad no definida;CLP;52100840;0;0;0;52100840;52100840
1208097-2-SE24;26-01-2024 0:00:00;Servicio de Carta Certificada para la Dirección Regional;Servicio de Carta Certificada para la Dirección Regional. ;Recepcion Conforme;Trato Directo;CLP;1000000;0;0;0;1000000;0;1000000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;DIRECCION REGIONAL VALPARAISO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;EMPRESA DE CORREOS DE CHILE;60.503.000-9;OTROS SERVICIOS DE TELECOMUNICACIONES N.C.P.;Grande;Región Metropolitana de Santiago;Servicios de transporte, almacenaje y correo;Transporte de correo y carga;Transporte de carga por carretera;78101802;Servicios de transporte regional o nacional en camión;Servicios de transporte regional o nacional en cam;Servicio de Carta Certificada para la Dirección Regional;1;Unidad no definida;CLP;1000000;0;0;0;1000000;1000000
1208985-9-SE24;30-01-2024 0:00:00;RFAT - SUMINSITRO DE VESTUARIO Y CALZADO NNA;TRATO DIRECTO PARA LA CONTRATACIÓN DEL SERVICIO DE SUMINISTRO DE UNIFORMES, VESTUARIO Y CALZADO PARA LOS NNA DE LAS RESIDENCIAS FAMILIARES DE ADMINISTRACIÓN DIRECTA DEL SERVICIO DE PROTECCIÓN ESPECIALIZADA DE LA REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA, DE CONFORMIDAD CON LO DISPUESTO EN EL ARTÍCULO 8° LETRA G) DE LA LEY 19.886 Y EL ART. 10, NÚMERO 7, LETRA J), DEL DECRETO N° 250/2004;Recepcion Conforme;Trato Directo;CLP;1344538;0;0;255462,22;1600000,22;255462,22;1344538;30 dias contra la recepcion conforme de la factura;Despachar según programa adjuntado ;67;ADMINISTRACIÓN DIRECTA REGIÓN DE MAGALLANES;62.000.890-7;Region de Magallanes y de la Antartica;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;EL ARTE DE VESTIR S A;79.862.960-3;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR| VENTA AL POR MENOR DE CALZADO;Grande;Región de Magallanes y de la Antártica;Ropa, maletas y productos de aseo personal;Calzado;Zapatos;53111603;Zapatos de niño;Zapatos de niño;SUMINISTRO DE CALZADO NNA RFAT;1;Unidad;CLP;147059;0;0;0;147059;147059
1210674-20-SE24;01-02-2024 0:00:00;HOSPEDAJE VACACIONES NNA RF LA GOLETA, CARLOS ANTUNEZ Y RAE QUINTA NORMAL (KRA);HOSPEDAJE CON MOTIVO DE VACACIONES DE VERANO PARA NNA PERTENECIENTES A LOS CENTROS DE AADD RF CARLOS ANTUNEZ, RF LA GOLETA RAE QUINTA NORMAL;Recepcion Conforme;Trato Directo;CLP;3226891;0;0;613109,29;3840000,29;613109,29;3226891;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho;117;ADMINISTRACIÓN DIRECTA REGIÓN METROPOLITANA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;DALBOSCO Y ALDUNATE SPA;76.690.066-6;HOSTEL, HOTEL;Pequeña;Región de Coquimbo ;Artículos para estructuras, obras y construcciones;Construcciones permanentes;Construcciones para alojamiento;30222507;Hotel;Hotel;HOSPEDAJE CON DESAYUNO INCLUIDO 19-23 DE FEBRERO 29 PERSONAS - RF LA GOLETA Y RAE QUINTA NORMAL ;1;Unidad no definida;CLP;2016807;0;0;0;2016807;2016807
1209403-7-SE24;06-02-2024 0:00:00;Actividades Deportivas 18 meses;Contracción de actividades por un periodo de 18 meses. pagos mensuales ;Recepcion Conforme;Trato Directo;CLP;3540000;0;0;0;3540000;0;3540000;30 dias contra la recepcion conforme de la factura;A convenir;31;ADMINISTRACIÓN DIRECTA REGIÓN DE AYSEN;62.000.890-7;Region Aysen del General Carlos IbaNez del Campo;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;PARQUE AUSTRAL SOCIEDAD ANONIMA CERRADA;96.812.800-0;OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS| COMERCIO POR MENOR DE JUGUETES| COMERCIO DE ARTICULOS DE SUMINISTROS DE OFICINAS Y ART. DE ESCRITORIO| COMPRA/VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INM. PROPIOS O ARR| ACTIVIDADES DE CLUBES DE DEP;Pequeña;Región Aysén del General Carlos Ibáñez del Campo;Artículos para estructuras, obras y construcciones;Construcciones permanentes;Construcciones deportivas y sanitarias;30222606;Gimnasio;Gimnasio;Piscina temperada Lo que permitirá el uso de la misma, independiente de las condiciones climáticas y asimismo cuenta con sala de máquinas de musculación, y clases guiadas en el mismo complejo..;590;Unidad;CLP;6000;0;0;0;3540000;3540000
1208983-19-SE24;14-02-2024 0:00:00;Adquisición Artículos para Bebé para Programas FAE;Adquisición Artículos para Bebé para Programas FAE de Valparaíso y Viña del Mar. Despachar a Calle Blanco 937, piso 1, Valparaíso;Recepcion Conforme;Trato Directo;CLP;1833376;0;0;348341,44;2181717,44;348341,44;1833376;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;117;ADMINISTRACIÓN DIRECTA REGIÓN DE VALPARAÍSO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;DIC DESING SPA;77.275.083-8;VENTA AL POR MAYOR DE INSTRUMENTOS CIENTIFICOS Y QUIRURGICOS;Pequeña;Región Metropolitana de Santiago;Muebles y mobiliario;Muebles de alojamiento;Accesorios y muebles de bebé y niño;56101803;Coche de paseo;Coche de paseo;Coche de paseo doble;2;Unidad;CLP;125513;0;0;0;251026;251026
1208983-20-SE24;12-02-2024 0:00:00;Prórroga Adquisición Gift Cards Alimento Programas FAE;AUTORIZA TRATO O CONTRATACIÓN DIRECTA PARA LA PRÓRROGA DEL CONTRATO FORMALIZADO CON FECHA 16 DE NOVIEMBRE DE 2023 RESPECTO DE LA ADQUISICIÓN DE GIFT CARDS RECARGABLES EN BENEFICIO DE LAS FAMILIAS DE LOS PROGRAMAS DE FAMILIA DE ACOGIDA ESPECIALIZADA (FAE) DE VALPARAÍSO Y VIÑA DEL MAR DE ADMINISTRACIÓN DIRECTA DE LA DIRECCIÓN REGIONAL DE VALPARAÍSO DEL SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA;Recepcion Conforme;Trato Directo;CLP;26050000;0;0;0;26050000;0;26050000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;107;ADMINISTRACIÓN DIRECTA REGIÓN DE VALPARAÍSO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;SODEXO SOLUCIONES DE MOTIVACION CHILE S.A.;96.556.930-8;OTRAS ACTIVIDADES EMPRESARIALES N.C.P.;Grande;Región Metropolitana de Santiago;Servicios profesionales, administrativos y consultorías de gestión empresarial;Servicios de apoyo a la administración de empresas;Servicios de apoyo a la gestión;80161504;Servicios administrativos;Servicios administrativos;;1;Unidad no definida;CLP;26050000;0;0;0;26050000;26050000
1210674-35-SE24;09-02-2024 0:00:00;HOSPEDAJE VACACIONES NNA RF BROWN SUR Y RF ESPAÑA;HOSPEDAJE CON MOTIVO DE VACACIONES DE VERANO PARA NNA PERTENECIENTES A LOS CENTROS DE AADD RF BROWN SUR Y RF ESPAÑA;Recepcion Conforme;Trato Directo;CLP;2521008;0;0;478991,52;2999999,52;478991,52;2521008;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho;193;ADMINISTRACIÓN DIRECTA REGIÓN METROPOLITANA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;DALBOSCO Y ALDUNATE SPA;76.690.066-6;HOSTEL, HOTEL;Pequeña;Región de Coquimbo ;Artículos para estructuras, obras y construcciones;Construcciones permanentes;Construcciones para alojamiento;30222507;Hotel;Hotel;HOSPEDAJE CON DESAYUNO INCLUIDO 26 DE FEBRERO AL 01 DE MARZO 20 PERSONAS - RF ESAÑA;1;Unidad no definida;CLP;1277311;0;0;0;1277311;1277311
